"start";"end";"Entry Title";"Date & Time of observation";"Location of observation";"_Location of observation_latitude";"_Location of observation_longitude";"_Location of observation_altitude";"_Location of observation_precision";"Overview Photo";"Overview Photo_URL";"Close-Up Photo";"Close-Up Photo_URL";"Material Type";"Material Type - Other";"Component Type";"Component Type - Other";"Approximate Quantity";"Approximate Size";"Condition/Intact / reusable as found";"Condition/Usable with cleaning";"Condition/Usable with repair";"Condition/Damaged but useful";"Condition/Broken fragments only";"Condition/Contaminated / dirty";"Condition/Unsafe / hazardous";"Possible reuse idea";"Additional notes";"_id";"_uuid";"_submission_time";"_validation_status";"_status";"_submitted_by";"__version__";"meta/rootUuid";"_index"
"2026-07-04T17:18:11.854+09:00";"2026-07-04T17:27:58.033+09:00";"Fabric drawer";"2026-07-04T17:27:00+09:00";"37.546616 127.075649 27.988345374746345 7.3395082706464825";"37.546616";"127.075649";"27.988345374746345";"7.3395082706464825";"image-17_27_19.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801912039/attachments/attAbmWBkcftfHPdu8xtDSBo/";"image-17_27_28.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801912039/attachments/attv88y24abPg8RWzwcdiM79/";"Composite / Mixed";"";"Fabric / flexible sheet";"";"2-5 items";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"";"";"801912039";"daadd48c-2608-4235-9c08-45c26fa93192";"2026-07-04T08:28:01";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:daadd48c-2608-4235-9c08-45c26fa93192";"13"
"2026-07-04T17:27:58.070+09:00";"2026-07-04T17:31:06.478+09:00";"Glass";"2026-07-04T17:29:00+09:00";"37.546774 127.074545 24.946195110678673 6.099028466739737";"37.546774";"127.074545";"24.946195110678673";"6.099028466739737";"image-17_29_37.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801913931/attachments/attydfhhhMMj2VbPNCfuovKB/";"image-17_29_45.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801913931/attachments/attPy9aWhjehnJd8LuMbGmgZ/";"Glass";"";"Bottle / can / vessel";"";"6-20 items";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"Break it into pieces and use it as an auditory or visual element";"";"801913931";"4acfc042-9cc9-4844-93e4-527b4da25f33";"2026-07-04T08:31:09";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:4acfc042-9cc9-4844-93e4-527b4da25f33";"14"
"2026-07-04T17:31:06.512+09:00";"2026-07-04T17:34:15.330+09:00";"Foam";"2026-07-04T17:33:00+09:00";"37.545895 127.073638 39.008356618123926 13.808358402578529";"37.545895";"127.073638";"39.008356618123926";"13.808358402578529";"image-17_33_46.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801916169/attachments/attGDQPTrL2NzffQ8b3ehxwi/";"image-17_33_55.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801916169/attachments/attQb8rRNmPfyNmKT5tMPBpf/";"Foam / Insulation";"";"Container / box / crate";"";"2-5 items";"Medium (can be carried by one person)";"1";"0";"0";"0";"0";"0";"0";"";"";"801916169";"b9cf0ddb-a3cf-4438-9c5e-3eea58971b21";"2026-07-04T08:34:36";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:b9cf0ddb-a3cf-4438-9c5e-3eea58971b21";"15"
"2026-07-04T17:34:15.368+09:00";"2026-07-04T17:36:38.928+09:00";"Box";"2026-07-04T17:35:00+09:00";"37.545226 127.073216 58.44599876087159 8.93880273846815";"37.545226";"127.073216";"58.44599876087159";"8.93880273846815";"image-17_35_22.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801917606/attachments/attZemvadsTrZAapMF2jwtBC/";"image-17_35_56.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801917606/attachments/atto44JKzRscLZoo3eLxY6U6/";"Paper / Cardboard";"";"Container / box / crate";"";"6-20 items";"Medium (can be carried by one person)";"0";"1";"0";"0";"0";"0";"0";"";"";"801917606";"80464b69-4e11-42ad-80aa-d7231b48fe0f";"2026-07-04T08:36:41";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:80464b69-4e11-42ad-80aa-d7231b48fe0f";"16"
"2026-07-04T17:36:38.964+09:00";"2026-07-04T17:39:52.707+09:00";"Plastic";"2026-07-04T17:39:00+09:00";"37.5449 127.071051 33.32682939536533 56.08114113058051";"37.5449";"127.071051";"33.32682939536533";"56.08114113058051";"image-17_39_32.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801919823/attachments/attQreGQW8A7jL9dHoYcpGCY/";"image-17_39_38.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801919823/attachments/attuiNQfZz6CF5Mcn97narXY/";"Plastic";"";"Bottle / can / vessel";"";"2-5 items";"Large (needs two people)";"1";"0";"0";"0";"0";"0";"0";"";"";"801919823";"623a9d99-1a60-4e4c-bc0a-e640539895b7";"2026-07-04T08:39:56";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:623a9d99-1a60-4e4c-bc0a-e640539895b7";"17"
"2026-07-04T17:38:27.756+09:00";"2026-07-04T17:44:05.372+09:00";"Wooden Pallet";"2026-07-04T17:38:00+09:00";"37.620988 127.074475 21.691773132522783 39.76464378440594";"37.620988";"127.074475";"21.691773132522783";"39.76464378440594";"IMG_0923-17_40_54.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801922765/attachments/attjY86XdioXqYKpRXtzTTZg/";"image-17_42_37.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801922765/attachments/attd9tZWiuMqEVD4ttoTMtjc/";"Wood";"";"Frame";"";"Single item";"Large (needs two people)";"0";"1";"0";"1";"0";"1";"0";"assembly, furniture, structure";"broken";"801922765";"2e4bf079-94dc-4cf0-a654-58b40296f14b";"2026-07-04T08:44:09";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:2e4bf079-94dc-4cf0-a654-58b40296f14b";"18"
"2026-07-04T17:39:52.745+09:00";"2026-07-04T17:45:34.270+09:00";"Foam";"2026-07-04T17:45:00+09:00";"37.542761 127.064309 39.633733081169986 16.857270477940723";"37.542761";"127.064309";"39.633733081169986";"16.857270477940723";"image-17_44_50.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801923753/attachments/attdcfCf2Qiu8FWVXVh9eP9B/";"image-17_44_59.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801923753/attachments/atthhC8QMtw7zLEa6Xcx8ic2/";"Foam / Insulation";"";"Container / box / crate";"";"6-20 items";"Large (needs two people)";"0";"1";"0";"0";"0";"0";"0";"";"";"801923753";"715cef57-5084-41eb-b801-e06a18c8223f";"2026-07-04T08:45:38";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:715cef57-5084-41eb-b801-e06a18c8223f";"19"
"2026-07-04T17:44:05.425+09:00";"2026-07-04T17:50:51.217+09:00";"Plastic Bucket";"2026-07-04T17:47:00+09:00";"37.620722 127.074598 24.618074056521678 33.00337502542932";"37.620722";"127.074598";"24.618074056521678";"33.00337502542932";"IMG_0927-17_47_53.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801926240/attachments/attskPCnk3dUXh7hAixhPvp8/";"IMG_0926-17_48_0.jpeg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801926240/attachments/attLTYpPJgbbb25F6Q9xB8dL/";"Plastic";"";"Bottle / can / vessel";"";"Single item";"Medium (can be carried by one person)";"1";"1";"0";"0";"0";"1";"0";"Structure";"Contains heavy adhesive residue. Can be utilized as a weighted base anchor without cleaning.";"801926240";"9a18743a-06d5-40c2-bf0d-d188f557c011";"2026-07-04T08:50:54";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:9a18743a-06d5-40c2-bf0d-d188f557c011";"20"
"2026-07-04T17:45:34.310+09:00";"2026-07-04T17:54:00.599+09:00";"Wood";"2026-07-04T17:53:00+09:00";"37.542896 127.061099 27.20690052670094 12.196499553927628";"37.542896";"127.061099";"27.20690052670094";"12.196499553927628";"image-17_53_9.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801928203/attachments/attgohsEAoY9fcgm6A8Kds65/";"image-17_53_20.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801928203/attachments/att5Lu7Kdp5R9byVRB4WjS2J/";"Wood";"";"Board / plank";"";"More than 20 items";"Very large (needs tools/vehicle)";"0";"0";"0";"1";"0";"0";"0";"";"";"801928203";"6417c1b7-25f4-479c-8678-c1ce7186b0b9";"2026-07-04T08:54:20";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:6417c1b7-25f4-479c-8678-c1ce7186b0b9";"21"
"2026-07-04T17:50:51.267+09:00";"2026-07-04T17:55:52.613+09:00";"Corrugated Plastic Sheets";"2026-07-04T17:52:00+09:00";"37.620921 127.074623 24.653543972059552 25.03515005129917";"37.620921";"127.074623";"24.653543972059552";"25.03515005129917";"image-17_52_39.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801929188/attachments/attpru9MzLHnay5DBVZXynrQ/";"image-17_52_52.jpg";"https://kf.kobotoolbox.org/api/v2/assets/a4e7otemHkwX3FFoUrn4T7/data/801929188/attachments/attnEyjJb2weiZdetVfe8txC/";"Plastic";"";"Sheet / panel";"";"2-5 items";"Large (needs two people)";"1";"0";"0";"0";"0";"0";"0";"Facade";"";"801929188";"ab0f103d-a760-49b4-81b1-0f3fc65515fd";"2026-07-04T08:55:55";"";"submitted_via_web";"";"vHJo9TTmpXYnZikArJN6jE";"uuid:ab0f103d-a760-49b4-81b1-0f3fc65515fd";"22"
